0,37377,69487,25663
1,2322
2,4682
2,102231
2,47263
2,132413
2,117694
2,78837
42024,2
2,23303
2,128403
2,82967
2,69428
121024,2
2,104395
2,78471
113697,2
138970,2
2,55115
2,97036
2,121651
2,85612
113560,2
147729,2
2,101612
2,102254
2,128550
2,70391
2,118255
2,150519
132032,2
2,112507
2,69514
2,23119
2,97927
128250,2
2,111127
2,78471
2,112203
2,34055
2,84684
98392,2
2,74020
2,120318
2,106563
2,69581
70632,2
105808,2
2,101646
2,150918
2,93399
93409,2
83288,2
2,112765
2,29363
127928,2
84713,2
2,107547
2,98202
2,41716
2,119954
2,120318
2,118527
2,23187
2,6422
7224,2
2,115165
2,85173
2,149211
2,135402
96048,2
2,96012
2,23658
2,124693
2,141538
2,101763
149120,2
2,89062
2,75766
2,141532
2,98631
40473,2
32441,2
2,87138
2,142222
2,132130
2,5738
93393,2
2,150762
104297,2
84496,2
2,72951
2,30540
2,26151
15976,2
2,149397
2,81995
2,88227
2,113013
2,89964
2,9166
2,121891
32441,2
2,143615
2,102523
2,81374
6625,2
29672,2
2,71931
2,9610
2,129308
2,98146
2,133431
2,34124
2,82468
119696,2
2,121980
2,61483
78345,2
2,100339
75561,2
2,90340
2,80430
2,121397
2,116324
51872,2
2,28490
2,147275
106920,2
90808,2
2,151287
2,70734
2,115628
112346,2
2,72951
2,98540
2,148981
2,94204
2,93901
140937,2
2,121980
150960,2
2,31332
100040,2
2,146484
2,134814
86161,2
117025,2
2,56421
2,150767
113353,2
2,147206
26856,2
2,120643
146529,2
4818,2,96763
2,131539,4828
80432,2,6127
14073,2,6383
2,89500,6653
6664,2,50495
2,30540,8111
2,8589,107134
10881,2,35036
10881,2,23303
10881,2,115140
10881,2,79500
10881,2,90609,5495
122473,2,13138
2,89395,13533
104410,2,14351
137120,13873,2,15063
10881,2,16911
2,87996,23238
2,25154,89703
100611,2,39971,26133
2,124563,26549
17338,2,4676,27933
29641,2,93954,7645
31872,2,99245,43711
69488,2,33725
2,88869,36474
94184,40465,2
2,42029
107474,2,43274
126704,2,45207
2,45594,100916
2,46156,98573,4700
48602,2,114789
48705,2,82468
2,49188,93054
2,35300,51574
2,67882,52942
2,54972,138206
135909,2,56013
71961,2,56690
2,59947,133431
61712,63577,2
62672,2,114676
128417,2,66263
2,67326
68848,2
69489,3,55275
4,22473,22697,20879,19727,61295,662,21499,12031
69490,387,5,4058,62655
15728,69491,16636,6,21708
15506,69492,7
8,69493
9,69494
19653,3589,19735,808,26473,10,13886
5426,279,11,41483,69495
12,61358,8028
70564,12,41229
69496,13
69497,14
69498,15
16,11721,15274
38088,17
18,69499
19
19
38570,19,10139
42705,19,37766
69500,20
2417,69501,21,911
22361,226,22,69502
10192,19392,17874,23,69503
24,69504
69505,25,34491,17549,7791
26,10846,69506
27,69507
22216,28
29
36064,30
139268,30
30,71735
30,112247
70892,30
30,45687
123553,30
64451,30
144265,30
105385,30
30,34846
30,123519
108974,30
62418,30
30,71671
43395,30
6956,30
134242,30
71115,30
32034,30
90610,30
84573,30
60573,30
4728,30
64051,30
134676,30
112205,30
81209,30
31293,30
30,128534
68056,30
135578,30
123553,30
135573,30
137786,30
70690,30
30,113950
36064,30
30,74127
30,5150
41417,30
125522,30
129553,30
61523,30
70563,30
6380,30
56205,30
69741,30
10077,30
30,103391
26974,30
88848,30
95043,30
22828,30
64850,30
36064,30
1446,30
51900,30
30,71671
116673,30
73849,30
71344,30
65014,30
133268,30
30,112247
100653,30
71115,30
149752,30
73098,30
100300,30
122728,30
85056,30
796,30
4856,30
36064,30
124033,30
132865,30
142538,30
66202,30
30,13735
59953,30
61523,30
26427,30
104729,30
106834,30
138897,30
144205,30
133452,30
61374,30
144854,30
19091,30
60573,30
67297,30
4728,30
56634,30
52402,30
125522,30
144371,30
30234,30
127400,30
133569,30
30,69863
30,54935
22872,30
58794,30
80914,30
102339,30
52402,30
30,125303
69741,30
71115,30
30234,30
62418,30
30,57175
130364,30
10077,30
89618,30
30,59807
133268,30
108266,30
136773,30
71115,30
145349,30
90610,30
134644,30
71741,30
125522,30
141596,30
19091,30
88848,30
30,87566
109762,30
41432,30
21124,30
62321,30
102549,30
59803,30
104188,30
30,5150
18238,30
66202,30
133411,30
41417,30
79232,30
99170,30
83339,30
42469,30
133400,30
44934,30
113974,30
62166,30
73849,30
131859,30
67297,30
77410,30
64050,30
30,34846
30,144431
30,90383
69196,30
30,26807
59642,30
95349,30
43395,30
64451,30
132941,30
80633,30
30,5150
102339,30
102113,30
144698,30
82256,30
108998,30
57784,30
129468,30
107761,30
68701,30
54282,30
81802,30
146342,30
105331,30
102141,30
64451,30
9320,30
2658,30
4728,30
88704,30
113065,30
61374,30
141533,30
107048,30
116508,30
100378,30
87516,30
36064,30
112099,30
